Scale,Temperature(K),C11,C22,C33,C44,C55,C66,C12,C13,C23
4,50,409.22,637.2,560.21,569.85,1139.93,1326.18,398.26,349.43,187.48
4,100,132.08,217.7,240.82,271.2,561.32,651.83,116.14,127.15,40.11
4,150,102.9,164.23,172.16,165.94,376.9,425.97,96.79,99.22,38.61
4,200,72.81,153.39,108.66,15.79,287.09,301.21,72.75,48.15,-6.22
4,250,49.32,94.97,97.53,14.88,220.1,252.36,43.21,42.86,-3.26
4,300,34.29,93.07,46.16,10.16,186.8,194.74,40.74,13.93,-10.34
4,350,26.02,56.06,47.77,11.76,147.15,153.4,20.9,15.85,-14.09
4,400,24.69,52.25,51.46,10.08,124.43,134.19,19.82,19.06,-7.03
4,450,15.17,32.86,31.77,8.26,106.49,108.75,11.19,7.78,-8.65
4,500,21.93,35.14,42.94,7.73,93.55,101.31,14.66,18.03,-4.73
4,550,16.21,41.52,26.53,6.4,85.11,90.14,17.31,7.73,-4.3
4,600,9.71,22.34,23.61,7.08,72.69,81.49,7.01,7.3,-2.77
4,650,14.52,29.89,24.82,6.46,62.97,72.75,12.47,9.91,-1.72
8,50,328.49,394.83,339.31,740.2,819.99,928.19,261.82,257.34,224.79
8,100,155.31,152.21,162.24,370.02,409.53,447.99,99.9,115.06,92.81
8,150,127.54,133.8,127.61,235.3,267.92,306.96,97.79,95.69,86.63
8,200,88.13,93.58,90.21,180.13,197.12,220.37,63.1,65.02,60.03
8,250,64.75,70.26,64.32,144.72,151.29,171.12,45.79,43.96,40.75
8,300,39.62,35.94,40.41,113.0,126.31,139.03,16.98,22.14,15.8
8,350,51.06,51.02,45.84,101.82,103.77,118.13,35.39,33.41,30.87
8,400,35.2,35.34,30.22,78.89,87.87,106.21,22.08,19.94,17.35
8,450,42.43,43.17,39.94,70.06,73.58,92.12,30.52,30.25,28.01
8,500,12.63,13.08,15.67,65.2,68.49,79.48,2.0,4.31,2.77
8,550,23.01,26.32,21.29,56.45,59.74,65.88,13.99,12.86,13.11
8,600,17.04,15.92,18.63,47.12,52.54,55.36,7.62,9.72,7.71
8,650,20.17,21.51,19.58,43.05,46.05,55.29,12.97,12.36,12.15
16,50,348.55,406.17,436.49,740.59,853.14,1014.78,302.26,272.28,231.87
16,100,181.31,212.91,215.17,362.99,395.65,498.71,162.83,143.65,131.93
16,150,113.39,127.67,124.62,241.84,262.84,317.44,97.67,84.73,76.1
16,200,42.47,45.94,71.09,185.87,187.99,216.63,24.55,29.07,22.85
16,250,67.32,74.42,73.74,148.89,150.72,182.42,54.09,46.84,44.81
16,300,35.48,36.32,48.65,114.77,119.55,138.72,21.87,22.82,20.28
16,350,39.11,34.97,37.22,100.83,100.94,124.65,25.2,21.84,16.92
16,400,32.16,30.52,31.98,80.58,84.61,106.21,20.96,16.89,13.09
16,450,21.67,21.91,24.45,70.77,75.38,85.69,11.78,11.85,9.51
16,500,14.41,17.56,16.19,62.27,65.54,82.64,7.74,5.24,3.42
16,550,17.1,20.52,18.27,56.82,57.67,70.4,11.58,7.34,7.41
16,600,14.03,11.09,14.6,49.55,51.23,58.9,5.48,5.56,2.29
16,650,8.34,10.99,12.31,41.38,48.3,57.12,4.25,3.55,3.54
32,50,415.0,509.57,485.55,680.63,904.23,991.81,351.04,334.55,274.71
32,100,121.11,145.07,150.81,345.38,421.35,468.96,80.47,80.6,51.59
32,150,122.76,145.55,135.42,221.26,272.28,307.82,103.7,95.46,78.76
32,200,82.95,102.39,93.1,161.81,208.17,237.45,69.87,61.93,52.78
32,250,44.91,58.76,51.04,136.03,153.98,168.95,32.4,26.61,21.16
32,300,53.05,58.07,54.69,108.06,123.67,144.22,39.99,36.9,29.79
32,350,43.98,48.48,44.95,89.55,105.41,119.44,32.89,30.12,24.77
32,400,21.03,20.81,20.48,79.41,85.65,101.34,9.84,8.43,1.98
32,450,20.38,23.69,17.62,65.92,79.03,91.94,11.58,7.58,4.44
32,500,22.29,24.81,29.8,60.13,68.31,82.96,14.11,16.0,13.34
32,550,21.1,21.29,20.72,50.34,57.38,64.25,13.36,11.75,8.77
32,600,18.49,23.09,22.75,45.76,52.85,63.08,14.23,13.2,11.53
32,650,18.41,23.4,22.72,45.56,52.9,63.17,14.32,13.15,11.64
